ID,名前,ルビ,ボード,登場作品,性別,属性,ポジション,カテゴリ,年代区分,学年,チーム,説明文,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,ビルド,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP
758,柘植 成樹,つげ せいき,1,イナズマイレブン,男,風,GK,選手,中学生,二年生,無所属,毎日１円でも安い商品を探そうと あちこち歩き回っている。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
759,道力 鉄二,どうりき てつじ,1,イナズマイレブン,男,火,MF,選手,中学生,三年生,無所属,バイク屋の息子で　手入れどころか エンジンの組み立てまでできる。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
760,粧司 浩介,しょうじ こうすけ,1,イナズマイレブン,男,風,GK,選手,中学生,二年生,無所属,化粧が得意で　仮病で休みたい時は 顔色を悪く見せるメイクをしている。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
761,茨城 渉,いばらき わたる,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,無所属,科学の知識がすごくて ノーベル賞を夢見ている。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
762,北条 新九郎,ほうじょう しんくろう,1,イナズマイレブン,男,山,FW,選手,中学生,二年生,無所属,小さいころから苦労が多くて 顔が老けて見える。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
763,対崎 暇,ついざき いとま,1,イナズマイレブン,男,山,MF,選手,中学生,一年生,無所属,いつもタイクツしていて　みんなに 「面白いことない？」と聞いている。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
764,大井川 剛,おおいがわ ごう,1,イナズマイレブン,男,山,GK,選手,中学生,三年生,無所属,とにかくタフで　真夏でも真冬でも 元気いっぱい！,110,120,113,127,133,137,120,きずな,860,230,288,301.5,260,253,247,1201
765,桑原 直巳,くわはら なおみ,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,自分の部屋でカイコを飼っている。 でも　単なるペットらしい。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
766,段田 正義,だんだ まさよし,1,イナズマイレブン,男,山,GK,選手,中学生,一年生,無所属,段ボールでいろんなものを作るのが好きだが 親からはゴミ扱いされている。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
767,街野 開矢,まちの かいや,1,イナズマイレブン,男,風,GK,選手,中学生,一年生,無所属,あちこちに建てられている 有名人の銅像を見るのが趣味。,110,120,113,127,133,137,120,きずな,860,230,288,301.5,260,253,247,1201
768,高柳 丈二,たかやなぎ じょうじ,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,無所属,大型バイクに憧れて　早く自分も ツーリングに行きたいと夢見ている。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
769,須賀原 巡,すがわら めぐる,1,イナズマイレブン,男,火,DF,選手,中学生,二年生,無所属,各地の土産物を集めるのが好き。 特に限定グッズが　お気に入り。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
770,釜戸 親生,かまど ちかお,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,ご飯をおいしく炊くのがうまく 給食係にもアドバイスする。,106,110,107,133,138,113,154,ひっさつ,861,216,270,317.5,271,292,287,1132
771,末武 安人,すえたけ やすひと,1,イナズマイレブン,男,火,MF,選手,中学生,一年生,無所属,庶民的な食べ物が大好きで 高級なステーキなどは食べない。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
772,片畑 尚,かたはた なお,1,イナズマイレブン,男,風,DF,選手,中学生,三年生,無所属,口が大きくて　ほとんどの食べ物を 一口で飲み込んでしまう。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
773,緑川 定,みどりかわ さだか,1,イナズマイレブン,男,風,MF,選手,中学生,三年生,無所属,毎朝　交差点で 交通安全の旗を持って活動中。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
774,毘沙門 海里,びしゃもん かいり,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,賭け事には絶対に負けない。 でも　お金は賭けていないよ。,110,120,113,127,133,137,120,きずな,860,230,288,301.5,260,253,247,1201
775,王円 弾,おうえん だん,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,無所属,応援の名人で　彼が応援の指揮をとると すごく盛り上がる。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
776,赤道 直元,あかみち なおもと,1,イナズマイレブン,男,風,FW,選手,中学生,三年生,無所属,彼が行くところ　いつも真夏日になるという 究極の晴れ男。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
777,北海 道伸,ほっかい みちのぶ,1,イナズマイレブン,男,山,GK,選手,中学生,三年生,無所属,小さいことにとらわれない 広々とした心の持ち主。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
778,観葉 植,みは なお,1,イナズマイレブン,男,林,FW,選手,中学生,一年生,無所属,観葉植物を育てさせたら 誰も彼には勝てないという。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
779,江幡 葉,えばた よう,1,イナズマイレブン,男,山,FW,選手,中学生,三年生,無所属,花を育てるのが好きなのに いつも　花が咲く前に枯らしてしまう。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
780,暮連 勤,くれん つとむ,1,イナズマイレブン,男,風,MF,選手,中学生,三年生,無所属,クレーンゲームの名人で どんな難しい景品もゲットできる。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
781,鴉山 天,からすやま てん,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,無所属,いつも黒い服装で現れて 変な形のうちわを持っている。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
782,姫宮 雅美,ひめみや まさみ,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,家の庭が広すぎて　公園と間違われるので いつも　入ってきた人を帰らせている。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
783,衣留花 充昭,いるか みつあき,1,イナズマイレブン,男,山,GK,選手,中学生,二年生,無所属,水泳の時間に曲芸ばかりやって よく先生に叱られている。,110,120,113,127,133,137,120,ひっさつ,860,230,288,301.5,260,253,247,1201
784,百舌 晶人,もず あきと,1,イナズマイレブン,男,火,FW,選手,中学生,一年生,無所属,食べ物を何でも串に刺して 置いておくクセがある。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
785,生田 字郎,いくた じろう,1,イナズマイレブン,男,山,FW,選手,中学生,二年生,無所属,百科事典の内容を暗記するために ページを破って食べている！？,145,141,127,113,109,105,126,せいぎ,866,286,340.5,305.5,222,235,239,973
786,栄田 養士,さかえだ ようじ,1,イナズマイレブン,男,火,GK,選手,中学生,二年生,無所属,食事の栄養に詳しく スポーツ向きの食事を心がけている。,110,120,113,127,133,137,120,カウンター,860,230,288,301.5,260,253,247,1201
787,鋼鉄 城,こうてつ じょう,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,とにかく体が頑丈で　１０人がかりで ぶつかってもビクともしない。,130,141,137,113,114,105,126,テンション,866,271,343,315.5,227,240,239,988
788,秋田 尚也,あきた なおや,1,イナズマイレブン,男,風,FW,選手,中学生,三年生,無所属,怖いお面をかぶって　小さな子どもを びっくりさせている。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
789,井形 芳生,いがた よしお,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,無所属,体は大きいんだけど ちょっと水太り気味の少年。,130,141,137,113,114,105,126,ひっさつ,866,271,343,315.5,227,240,239,988
790,藍染 郁次,あいぞめ ゆうじ,1,イナズマイレブン,男,山,GK,選手,中学生,二年生,無所属,ハンカチやＴシャツなど 身の回りのものを　何でも染めている。,110,120,113,127,133,137,120,せいぎ,860,230,288,301.5,260,253,247,1201
791,手出 作郎,てで つくろう,1,イナズマイレブン,男,山,FW,選手,中学生,一年生,無所属,家具作りが大好きで　部屋の家具は 全部作っているらしいぞ。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
792,仲泉 遊,なかいずみ ゆう,1,イナズマイレブン,男,山,FW,選手,中学生,一年生,無所属,木のオモチャを作るのが好きで オモチャ職人を目指している。,154,145,133,107,105,105,116,ひっさつ,865,299,355,301.5,212,221,223,949
793,龍造 寺男,りゅうぞう てらお,1,イナズマイレブン,男,山,FW,選手,中学生,三年生,無所属,何度も友達から裏切られているので 疑り深い性格になっている。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
794,建森 解,たてもり かい,1,イナズマイレブン,男,山,GK,選手,中学生,二年生,無所属,古い建物を１カ所崩すだけで 見事にバラバラにしてしまう。,110,120,113,127,133,137,120,テンション,860,230,288,301.5,260,253,247,1201
795,鶴田 時朗,つるた ときお,1,イナズマイレブン,男,火,GK,選手,中学生,三年生,無所属,自分に親切にしてくれた人たちに こっそりと　いろんな恩返しをする。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
796,花村 広之,はなむら ひろゆき,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,花火が大好きで　祝い事があるとすぐ 花火を打ち上げる。,126,145,147,107,105,105,130,テンション,865,271,355,329.5,212,235,237,949
797,山村 明,やまむら あきら,1,イナズマイレブン,男,林,MF,選手,中学生,三年生,無所属,冬でも日焼けしていて　いつも真っ黒。 肌へのダメージが心配だ。,130,141,137,113,114,105,126,きずな,866,271,343,315.5,227,240,239,988
798,織田 信央,おだ のぶひろ,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,人の意表を突くことが得意。 失敗すると　みんなに当たり散らすぞ。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
799,赤鯛 誠史,あかだい まさふみ,1,イナズマイレブン,男,火,GK,選手,中学生,二年生,無所属,めでたい席が大好きで　呼ばれもしないのに 勝手に押しかけてくる。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
800,灰島 啓二,はいじま けいじ,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,無所属,白黒はっきりしなくて いつも　どっちにするか悩んでいる。,106,110,107,133,138,113,154,テンション,861,216,270,317.5,271,292,287,1132
801,古屋 延,ふるや のべる,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,本を読むのが大好きで 図書室に入り浸っている。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
802,海道 貞一,うみみち ていいち,1,イナズマイレブン,男,風,GK,選手,中学生,三年生,無所属,フェリーで旅をするのが趣味で 時間がかかっても　飛行機は使わない。,110,120,113,123,133,141,120,せいぎ,860,230,288,303.5,256,253,243,1209
803,越間 巨樹,えつま おおき,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,ハデな宝石を全身につけている。 でも　本当はレプリカらしいぞ。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
804,流衣 洗,るい あらう,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,無所属,洗濯が上手で　彼の手にかかれば 新品のようにぴっかぴか。,130,141,137,113,114,105,126,せいぎ,866,271,343,315.5,227,240,239,988
805,虹野 克,にじの すぐる,1,イナズマイレブン,男,火,DF,選手,中学生,二年生,無所属,雨が上がった日には　７色のハデな服で 周りを驚かせている。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
806,犬原 雅之,いぬはら まさゆき,1,イナズマイレブン,男,山,FW,選手,中学生,一年生,無所属,すごく大きな犬を３匹も飼っていて 犬でソリをしたいと考えている。,145,141,127,113,109,105,126,きずな,866,286,340.5,305.5,222,235,239,973
807,縄手 万作,なわて まんさく,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,なわとびの達人で　なんと連続１万回 跳び続けられるらしい。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
808,寺井 入道,てらい にゅうどう,1,イナズマイレブン,男,火,FW,選手,中学生,一年生,無所属,スポーツ大好きの少年。 木魚で野球をして怒られた。,145,141,127,113,109,105,126,カウンター,866,286,340.5,305.5,222,235,239,973
809,上坂 納,うえさか おさむ,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,無所属,部屋片づけの達人で　たくさんのものを 見事に収納してしまう。,145,141,127,113,109,105,126,テンション,866,286,340.5,305.5,222,235,239,973
810,和歌山 慶,わかやま けい,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,みかんが大好きで　冬になると毎日 ３０個以上食べるぞ。,110,120,113,127,133,137,120,ひっさつ,860,230,288,301.5,260,253,247,1201
811,飛鳥 健,あすか けん,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,近所を守るヒーローとして 顔にマスクをして行動している。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
812,栗山 澄太,くりやま すみた,1,イナズマイレブン,男,山,FW,選手,中学生,二年生,無所属,フィギュアを集めるのが大好き。 その数は１０００体を超える。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
813,川蝉 育俊,かわせみ いくとし,1,イナズマイレブン,男,火,FW,選手,中学生,一年生,無所属,突然　けたたましい笑い声で笑い始めるので みんなびっくり。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
814,宇田川 光臣,うだがわ みつおみ,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,無所属,社交ダンスからライブハウスまで 踊っていられれば　とても幸せ。,126,145,147,107,105,105,130,テンション,865,271,355,329.5,212,235,237,949
815,壬生 大将,みぶ ひろまさ,1,イナズマイレブン,男,山,GK,選手,中学生,三年生,無所属,名前負けしている自分を 変えたいと思っている。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
816,茜 広明,あかね ひろあき,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,無所属,夕焼けを見るのが好きで　練習中にも ついぼーっと眺めてしまう。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
817,啄木 才輔,きつつき さいすけ,1,イナズマイレブン,男,風,MF,選手,中学生,一年生,無所属,物事をコツコツ進めていく努力家。 木でアクセサリーを作るのが趣味。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
818,群馬 草彦,ぐんま くさひこ,1,イナズマイレブン,男,火,GK,選手,中学生,二年生,無所属,仲のいい女の子に頭が上がらなくて 常に尻に敷かれている。,110,120,113,127,133,137,120,ひっさつ,860,230,288,301.5,260,253,247,1201
819,天井 遥,そらい はるか,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,何にでも絶対満足しないで いつも上を目指している。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
820,家永 章,いえなが あきら,1,イナズマイレブン,男,火,DF,選手,中学生,一年生,無所属,家紋を調べるのが趣味で 珍しい家紋を見ると　コウフンする。,106,110,107,133,138,113,154,テンション,861,216,270,317.5,271,292,287,1132
821,山西 浩正,やまにし ひろまさ,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,カレーが大好きで　食べたらタダになる １００倍激辛カレーを平らげた。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
822,流 周一,ながれ しゅういち,1,イナズマイレブン,男,風,DF,選手,中学生,二年生,無所属,通販が大好き。学校でもケータイで ＴＶショッピングをチェックする。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
823,名鏡 拓夢,めいきょう たくむ,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,無所属,中学生なのに　アルバイトで 家庭教師をしている天才。,106,110,107,133,138,113,154,きずな,861,216,270,317.5,271,292,287,1132
824,日隠 影樹,ひかげ えいき,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,無所属,太陽の光が嫌いで すぐ建物の陰に隠れてしまう。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
825,岡田 孝太郎,おかだ こうたろう,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,家庭菜園に凝っていて 無農薬で育てている。,126,145,147,107,105,105,130,ラフ,865,271,355,329.5,212,235,237,949
826,小玉 信輔,こだま しんすけ,1,イナズマイレブン,男,山,FW,選手,中学生,三年生,無所属,車が大好き。 毎週末のレース観戦が楽しみ。,145,141,127,113,109,105,126,ラフ,866,286,340.5,305.5,222,235,239,973
827,深道 秋生,ふかみち あきみ,1,イナズマイレブン,男,火,MF,選手,中学生,二年生,無所属,秋が大好きで　その時期だけは やたらとハイテンションになる。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
828,折野 創,おりの つくる,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,折り紙の名人で 等身大でも　何でも作れちゃう。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
829,水戸 邦光,みと くにみつ,1,イナズマイレブン,男,林,FW,選手,中学生,一年生,無所属,正義感が強くて　世直しのために 日本中を回るのが夢。,154,145,133,107,105,105,116,テンション,865,299,355,301.5,212,221,223,949
830,猫田 歩,ねこた あゆむ,1,イナズマイレブン,男,風,DF,選手,中学生,一年生,無所属,いつも背中を丸めるようにして歩く。 人目が恥ずかしいらしい。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
831,南場 恋次,なんば れんじ,1,イナズマイレブン,男,林,MF,選手,中学生,三年生,無所属,女の子大好きのナンパヤロウ。 １日１人に告白がノルマ。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
832,向野 征二,むかいの せいじ,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,地図マニアで　すべての国の場所を 覚えているらしいぞ。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
833,浦田 聡,うらた さとし,1,イナズマイレブン,男,火,FW,選手,中学生,一年生,無所属,新聞部のスポーツ担当。 感動を求めて　いつも走っている。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
834,青出 伸吾,あおで しんご,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,信号は絶対に青でしか渡らない 交通安全のカガミ。,110,120,113,127,133,137,120,カウンター,860,230,288,301.5,260,253,247,1201
835,工藤 駆,くどう かける,1,イナズマイレブン,男,林,DF,選手,中学生,三年生,無所属,知らない車はないくらい車が大好き。 家にはミニカーが山ほどある。,106,110,107,133,138,113,154,カウンター,861,216,270,317.5,271,292,287,1132
836,柿川 実,かきがわ みのる,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,いつも渋い顔で　お茶を飲んでいる。 でも　機嫌がいい時もあるらしい。,110,116,117,127,133,113,145,せいぎ,861,226,288,318.5,260,278,272,1105
837,賀夢 健太郎,がむ けんたろう,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,無所属,いつもガムをかんでいて　注意されても 集中力のためだと言うらしい。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
838,高原 竜也,たかはら たつや,1,イナズマイレブン,男,火,GK,選手,中学生,一年生,無所属,人をもてなすことが大好きで　いつか 夫婦でペンションをやるのが夢。,110,120,113,127,133,137,120,テンション,860,230,288,301.5,260,253,247,1201
839,水仙 稔基,すいせん としき,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,無所属,自分が一番美しいと思い込んでいて いつも鏡を覗いている。,145,141,127,113,109,105,126,ひっさつ,866,286,340.5,305.5,222,235,239,973
840,新見 主税,にいみ ちから,1,イナズマイレブン,男,林,DF,選手,中学生,三年生,無所属,休みの日には遊園地で着ぐるみを着て 風船を配っている。,106,110,107,133,138,113,154,せいぎ,861,216,270,317.5,271,292,287,1132
841,合方 調,あいかた しらべ,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,薬草を自分で取ってきては キズ薬を調合している。,110,120,113,127,133,137,120,テンション,860,230,288,301.5,260,253,247,1201
842,守久 要,もりひさ かなめ,1,イナズマイレブン,男,山,DF,選手,中学生,三年生,無所属,風紀委員で　毎朝遅刻した生徒を 校門で捕まえている。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
843,高城 貞人,たかぎ さだひと,1,イナズマイレブン,男,林,DF,選手,中学生,一年生,無所属,冷たいものが大好き。 でも食べ過ぎて　お腹を壊すことも。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
844,大石 良雄,おおいし よしお,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,無所属,非常に義理堅くて 恩を受けたことは　ゼッタイ忘れない。,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
845,大凧 昇,おおだこ のぼる,1,イナズマイレブン,男,林,GK,選手,中学生,三年生,無所属,たこあげに凝っていて 人間が乗れる　大きなたこに乗るのが夢。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
846,子鹿 森也,こじか しんや,1,イナズマイレブン,男,山,FW,選手,中学生,一年生,無所属,小動物のように怖がりだけど とっても　がんばり屋。,154,145,133,107,105,105,116,きずな,865,299,355,301.5,212,221,223,949
847,葵 健太,あおい けんた,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,無所属,ツンツンした態度で すぐに人を泣かせてしまう。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
848,寿 太郎,ことぶき たろう,1,イナズマイレブン,男,林,FW,選手,中学生,三年生,無所属,寿司が大好き。 でも中学生だから回転寿司にしか行けない。,145,141,127,113,109,105,126,カウンター,866,286,340.5,305.5,222,235,239,973
849,浦片 佳彦,うらかた よしひこ,1,イナズマイレブン,男,風,GK,選手,中学生,三年生,無所属,放送作家になって お笑いを裏から支えていきたいと思っている。,110,120,113,127,133,137,120,カウンター,860,230,288,301.5,260,253,247,1201
850,稲子 芳信,いなご よしのぶ,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,無所属,驚くと　ぴょんと跳び上がる。 その距離は走り幅跳び選手並みとか！？,126,145,147,107,105,105,130,きずな,865,271,355,329.5,212,235,237,949
851,南瓜 敬作,なうり けいさく,1,イナズマイレブン,男,火,GK,選手,中学生,二年生,無所属,ハロウィンが大好きで かぼちゃのランタンを何個も作っている。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
852,橋口 慎之介,はしぐち しんのすけ,1,イナズマイレブン,男,火,DF,選手,中学生,三年生,無所属,闘牛士に憧れていて 犬を牛に見立て　遊んでいる。,110,116,117,127,133,113,145,テンション,861,226,288,318.5,260,278,272,1105
853,海堂 脩平,かいどう しゅうへい,1,イナズマイレブン,男,風,MF,選手,中学生,三年生,無所属,困っている人を助けるのが生きがい。 いつも町内をパトロールしている。,130,141,137,113,114,105,126,ラフ,866,271,343,315.5,227,240,239,988
854,高沢 一樹,たかさわ かずき,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,無所属,字がとてもうまくて 時には先生も代筆を頼むほど。,130,141,137,113,114,105,126,カウンター,866,271,343,315.5,227,240,239,988
855,岩田 剛基,いわた よしき,1,イナズマイレブン,男,風,GK,選手,中学生,一年生,無所属,ハムスターをたくさん飼っている。 でも　増えすぎて困っているらしい。,110,120,113,127,133,137,120,カウンター,860,230,288,301.5,260,253,247,1201
856,院野 翔太,いんの しょうた,1,イナズマイレブン,男,林,DF,選手,中学生,一年生,無所属,ちょっとしたケガでも　すぐ病院に行くため 看護師の間でも有名人。,110,116,117,127,133,113,145,ラフ,861,226,288,318.5,260,278,272,1105
857,坂下 雅功,さかした まさとし,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,無所属,帽子が大好き。 同じ帽子をかぶっているのを見たことがない。,126,145,147,107,105,105,130,せいぎ,865,271,355,329.5,212,235,237,949
858,玉月 瞬,たまつき しゅん,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,ジュニアの全国大会に出たビリヤードの達人。 でも　ちょっとキザかも。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
859,水上 渡,みずかみ わたる,1,イナズマイレブン,男,風,FW,選手,中学生,一年生,無所属,愛犬とカヤックで川下りをするのが 趣味だという　さわやか少年。,154,145,133,107,105,105,116,ラフ,865,299,355,301.5,212,221,223,949
860,五味 一樹,ごみ かずき,1,イナズマイレブン,男,風,GK,選手,中学生,一年生,無所属,５歳のときからピアノを習っている。 将来はジャズをやりたいらしい。,110,120,113,123,133,141,120,ラフ,860,230,288,303.5,256,253,243,1209
861,二瓶 晶,にへい あきら,1,イナズマイレブン,男,山,DF,選手,中学生,二年生,無所属,いろんなお酒のビンのコレクター。 お酒は　親に飲ませている。,110,116,117,127,133,113,145,ひっさつ,861,226,288,318.5,260,278,272,1105
862,滝沢 敏也,たきざわ としや,1,イナズマイレブン,男,山,MF,選手,中学生,二年生,無所属,修行といっては　滝に打たれたり 山ごもりしたりするのが趣味。,126,145,147,107,105,105,130,ひっさつ,865,271,355,329.5,212,235,237,949
863,清原 光良,きよはら てるよし,1,イナズマイレブン,男,林,DF,選手,中学生,二年生,無所属,異常なまでに綺麗好きで　汚れが見つかると その場で磨き出す。,110,116,117,127,133,113,145,きずな,861,226,288,318.5,260,278,272,1105
864,針辻 大五郎,はりつじ だいごろう,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,家がハリ治療をやっていて サッカーのケガをハリで治している。,110,120,113,127,133,137,120,ひっさつ,860,230,288,301.5,260,253,247,1201
865,唐 拓郎,とう たくろう,1,イナズマイレブン,男,山,GK,選手,中学生,三年生,無所属,舞台を見て回るのが 大好きな演劇ファン。,110,120,113,123,133,141,120,ひっさつ,860,230,288,303.5,256,253,243,1209
866,砂川 碧海,すなかわ おうが,1,イナズマイレブン,男,林,FW,選手,中学生,一年生,無所属,仏像を見るのが好きで 毎年　仏像ツアーに出かけている。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
867,品川 隆博,しながわ たかひろ,1,イナズマイレブン,男,林,MF,選手,中学生,二年生,無所属,使わなくなったものを安く引き取っては 欲しい人に売っている。,126,145,147,107,105,105,130,カウンター,865,271,355,329.5,212,235,237,949
868,沼口 司,ぬまぐち つかさ,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,無所属,気功の達人で　ちょっと触れただけで 何でも吹き飛ばすことができる。,154,145,133,107,105,105,116,カウンター,865,299,355,301.5,212,221,223,949
869,岡野 一輝,おかの かずき,1,イナズマイレブン,男,山,FW,選手,中学生,一年生,無所属,『どんな仕事も引き受けます』がモットーの 学校の何でも屋。,145,141,127,113,109,105,126,テンション,866,286,340.5,305.5,222,235,239,973
870,孫吾 乱,そんご らん,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,無所属,性格は荒っぽいけど 正義感が強くて　頼りになるヤツ。,154,145,133,107,105,105,116,せいぎ,865,299,355,301.5,212,221,223,949
871,山中 圭,やまなか けい,1,イナズマイレブン,男,山,GK,選手,中学生,二年生,無所属,エステに凝っていて ムダ毛の脱毛までやっているらしい。,110,120,113,123,133,141,120,きずな,860,230,288,303.5,256,253,243,1209
872,布原 ヒロ,ぬのはら ひろ,1,イナズマイレブン,男,林,GK,選手,中学生,一年生,無所属,いつもハンカチを２枚持っているのは 女の子に差し出すためらしい。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
873,兵庫 陽明,ひょうご はるあき,1,イナズマイレブン,男,林,GK,選手,中学生,二年生,無所属,洋館に住むのが夢で　和室に無理やり 洋風インテリアを置いている。,110,120,113,127,133,137,120,ラフ,860,230,288,301.5,260,253,247,1201
